$MSTAT,1600560600,092020,001000,12.0748.2984,E,1.26,251.32,200920,,,A*60
$MSTAT,1600565759,092020,013559,12.0488,0.2270,28.1731,46.0189,3.2151,1.2144,3.3160,15284832
$MSTAT,1600565760,092020,013600,12.0355,0.2340,28.1654,45.8541,3.2146,1.2144,3.3160,15284832
$MSTAT,1600565880,092020,013800,12.0460,0.2286,28.1740,45.8967,3.2143,1.2144,3.3159,15284832
$MSTAT,1600566001,092020,014001,12.0324,0.2416,28.1294,45.9126,3.2154,1.2144,3.3170,15284832
$MSTAT,1600566121,092020,014201,12.0373,0.2391,28.1774,46.1981,3.2138,1.2144,3.3166,15284832
$MSTAT,1600566240,092020,014400,12.0375,0.2441,28.1492,46.2541,3.2160,1.2144,3.3181,15284832
$MSTAT,1600566360,092020,014600,12.0294,0.2454,28.1397,45.8775,3.2142,1.2144,3.3168,15284832
$MSTAT,1600566481,092020,014801,12.0384,0.2332,28.1820,45.8872,3.2135,1.2144,3.3167,15284832
$MSTAT,1600566601,092020,015001,12.0339,0.2406,28.1487,45.8217,3.2166,1.2144,3.3177,15284832
$MSTAT,1600566720,092020,015200,12.0274,0.2616,28.1725,46.1632,3.2161,1.2144,3.3178,15284832
$MSTAT,1600566840,092020,015400,12.0396,0.2386,28.1875,46.1180,3.2144,1.2144,3.3166,15284832
$MSTAT,1600566961,092020,015601,12.0322,0.2410,28.1466,45.9247,3.2150,1.2144,3.3168,15284832
$MSTAT,1600567081,092020,015801,12.0364,0.2470,28.1265,45.9223,3.2156,1.2144,3.3166,15284832
$MSTAT,1600567200,092020,020000,12.0365,0.2277,28.1369,45.6257,3.2132,1.2144,3.3154,15284832
$MSTAT,1600567320,092020,020200,12.0406,0.2367,28.1662,46.1371,3.2152,1.2144,3.3170,15284832
$MSTAT,1600567440,092020,020400,12.0276,0.2396,28.1409,46.0683,3.2147,1.2144,3.3158,15284832
$MSTAT,1600567560,092020,020600,12.0462,0.2408,28.1864,46.0432,3.2163,1.2144,3.3177,15284832
$MSTAT,1600567680,092020,020800,12.0410,0.2296,28.1786,45.9063,3.2155,1.2144,3.3159,15284832
$MSTAT,1600567801,092020,021001,12.0342,0.2399,28.1455,45.6431,3.2131,1.2144,3.3161,15284832
$MSTAT,1600567920,092020,021200,12.0246,0.2646,28.1501,46.0837,3.2143,1.2144,3.3176,15284832
$MSTAT,1600568040,092020,021400,12.0251,0.2489,28.1538,46.0541,3.2149,1.2144,3.3166,15284832
$MSTAT,1600568161,092020,021601,12.0408,0.2391,28.0874,45.8138,3.2146,1.2144,3.3167,15284832
$MSTAT,1600568281,092020,021801,12.0321,0.2284,28.1835,45.8296,3.2151,1.2144,3.3168,15284832
$MSTAT,1600568400,092020,022000,12.0311,0.2269,28.1334,45.6055,3.2141,1.2144,3.3148,15284832
